"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_0805_2012Metric";2;"22pF";;;
2;"C5, C6";"C_0805_2012Metric";2;"0.1uF";;;
3;"C7";"C_0805_2012Metric";1;"680uF";;;
4;"C8";"C_0805_2012Metric";1;"220uF";;;
5;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
6;"D2, D3";"LED_D5.0mm";2;"LED";;;
7;"D4";"D_SMA";1;"D_Schottky";;;
8;"J1";"BarrelJack_Horizontal";1;"Jack-DC";;;
9;"J2";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"Conn_01x02_Pin";;;
10;"J3";"TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm";1;"Conn_01x06_Pin";;;
11;"L1";"L_10.4x10.4_H4.8";1;"33uH";;;
12;"Q1";"TO-220-3_Vertical";1;"NMOS";;;
13;"R1, R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"330";;;
14;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100";;;
15;"R4, R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10K";;;
16;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10k";;;
17;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"10K";;;
18;"SW2";"SW_PUSH_6mm";1;"SW_Push";;;
19;"U1";"TO-263-5_TabPin3";1;"LM2596S-5";;;
20;"U3";"TO-220-3_Vertical";1;"LM35-NEB";;;
21;"U4";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
22;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
